Timestamp,What country do you work in?,Where is the closest major city or hub?,Biotech sub industry?,Company or Institution Name,Company Details - public/private/start-up/ subsidiary of ,Company Detail - Approximate Company Size,Role / Title of current position,Highest achieved Formal Education,List other relevant and recognized certifications,[Optional] Briefly describe your position,Years of Experience,Compensation - Annual Base Salary/Pay,Compensation - Overtime Pay,Compensation - Annual Target Bonus ($),Compensation - Annual Equity,Compensation - Sign on Bonus Value,Compensation - Stock Options,Compensation - Retirement Benefits (free text),Compensation - Healthcare Benefits (free text),Compensation - Most recent annual yearly raise (%),[OPTIONAL] Sign on - Relocation Assistance Total Value,[Optional] Company Review
7/4/2023 3:01,United States,Bay Area,Pharmaceutical (including “big pharma”),Prefer not to say,Public,5000+,Senior Counsel,M.D./PharmD/D.D.S. or Equivalent,None,,14,240000,N/A (no overtime/salaried),48000,20000,,,100%,,Have not been long enough to have an annual yearly raise,,
7/8/2023 14:17,United States,Research Triangle,Pharmaceutical (including “big pharma”),Prefer not to say,Private,200-1000,Project engineer II,Bachelors or Equivalent,None,Validation for commercial mfg equipment for advanced therapies,2,75000,N/A (no overtime/salaried),20000,Not Applicable/None,0,0,5% matching 401k,,5%,,10-Sep
7/9/2023 9:31,United States,Kansas City,Pharmaceutical (including “big pharma”),Prefer not to say,Public,5000+,Senior Associate Scientist I,Bachelors or Equivalent,None,Routine QC testing,2,64500,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,401k 4% @ 100%,HSA - Company adds $400. Premiums $1508/yr,1,,
7/10/2023 11:37,United States,Los Angeles,Pharmaceutical (including “big pharma”),Kite Pharma,Public,50-200,Sr. Research Associate,Masters or Equivalent,None,Analytical Development,2,105000,N/A (no overtime/salaried),15000,13500,5000,16000,"100% match up to $15,000",Full benefits,11,,High paced but lots of room to make an impression and get recognized
7/10/2023 16:15,United States,Boston,Pharmaceutical (including “big pharma”),Sanofi,Public,5000+,Senior Research Associate,Bachelors or Equivalent,None,Drug Product Gene Therapy Formulations,3,93000,N/A (no overtime/salaried),9300,Not Applicable/None,5000,,150% of 6% 401k Match (aka 9% 401k match),Horizon Blue Cross Blue Shield,Have not been long enough to have an annual yearly raise,,
7/17/2023 19:21,United States,Boston,Pharmaceutical (including “big pharma”),Prefer not to say,Public,5000+,Director,PhD or Equivalent,None,,14,255000,N/A (no overtime/salaried),59000,75000,50000,,,,3,,
7/18/2023 8:31,United States,Boston,Pharmaceutical (including “big pharma”),Cytiva,Public,5000+,Filtration Sales Specialist,Masters or Equivalent,None,,3,100000,N/A (no overtime/salaried),50000,Not Applicable/None,0,0,4%,,4,,
7/18/2023 20:24,United States,Bay Area ,Pharmaceutical (including “big pharma”),Prefer not to say,Public,50-200,Research associate ,Bachelors or Equivalent,None,Screening and MOA studies ,3,87500,N/A (no overtime/salaried),10%,Not Applicable/None,,3000 shares,No matching ,Good benefits,"$1,000 ",,5-Feb
7/19/2023 14:00,United States,Bay Area,Pharmaceutical (including “big pharma”),Prefer not to say,Public,50-200,Senior Research Associate,Masters or Equivalent,None,Conduct biochemical assays in lead discovery team ,0,107500,N/A (no overtime/salaried),17500,Not Applicable/None,5000,"5200 stock options, 25% vested after one year, remaining options vest 1/48th in each subsequent month",4% company 401k match kicks in after 1 year,Medical/vision/dental premiums fully covered by employer,Have not been long enough to have an annual yearly raise,,
7/20/2023 22:16,United States,San Antonio,Pharmaceutical (including “big pharma”),Prefer not to say,Start-up,50-200,Research Associate I,Masters or Equivalent,None,Research Associate I - Analytical Development,1,60000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,,,Have not been long enough to have an annual yearly raise,,
7/21/2023 11:26,United States,New York,Pharmaceutical (including “big pharma”),Merck/MSD,Public,5000+,Clinical Scientist ,Bachelors or Equivalent,None,,2,95000,N/A (no overtime/salaried),10%,Not Applicable/None,5000,,"401k 75% at up to 6%, pension",BCBS,Have not been long enough to have an annual yearly raise,,
7/26/2023 10:08,United States,Boston,Pharmaceutical (including “big pharma”),Prefer not to say,Start-up,1-50,Scientist,PhD or Equivalent,None,Scientist - wet lab R&D antibody discovery,0,120000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,12500,0.25% company equity,No retirement,"Full premiums covered for employee, not covered for family",Have not been long enough to have an annual yearly raise,10000,
7/26/2023 15:01,United States,San Diego,Pharmaceutical (including “big pharma”),Prefer not to say,Public,5000+,Scientist I ,Bachelors or Equivalent,None,In vitro DMPK ,14,130000,N/A (no overtime/salaried),10%,Not Applicable/None,,RSUs,401k up to 5% match,,3%,,
7/29/2023 20:18,United States,Boston,Pharmaceutical (including “big pharma”),Bristol Myers Squibb,Public,5000+,Principal Scientist,Masters or Equivalent,None,Bench Scientist ,18,150000,N/A (no overtime/salaried),16%,"15,000",0,0,5% 401k match,,3,,This place is a shit show. The research I did at Novartis was better. 
7/31/2023 15:21,United states,Research Triangle ,Pharmaceutical (including “big pharma”),Prefer not to say,Private,1000-5000,Research Associate I,Bachelors or Equivalent,None,,1,64000,N/A (no overtime/salaried),20%,20%,0,20%,40% match,Good,5%,,
8/1/2023 13:17,United States,Boston,Pharmaceutical (including “big pharma”),Prefer not to say,Public,50-200,Sr. Process engineer ,Masters or Equivalent,None,,10,130000,N/A (no overtime/salaried),19500,15000,0,,3% match,"Free healthcare, dental, vision. ",3%,,
8/14/2023 11:01,United States,Research Triangle,Pharmaceutical (including “big pharma”),Prefer not to say,Public,50-200,Scientist,PhD or Equivalent,None,"Scientist - Nanoparticle Fabrication; LNP testing and immune assays, manage several projects in cell and mouse models, and oversee 1-2 associate scientists",2,95000,N/A (no overtime/salaried),8% bonus,Not Applicable/None,0,None for entry level,401k match at 6% dollar-for-dollar,full health insurance for self and opt-in for spouse/family; full vision and dental insurance; $500k life insurance policy,Have not been long enough to have an annual yearly raise,,Too early to tell yet
8/18/2023 21:02,United States,Boston,Pharmaceutical (including “big pharma”),Sanofi,Public,5000+,Research associate,Bachelors or Equivalent,None,,0,70000,N/A (no overtime/salaried),7000,Not Applicable/None,5000,,401k match 150% match up to 6%,,3,,
8/21/2023 12:44,United States,Boston,Pharmaceutical (including “big pharma”),Charles River Labs,Public,5000+,Associate Scientist I/Chemist I,Bachelors or Equivalent,None,Analyze biological samples using protein precipitation and LCMS to analyze new drugs for sponsors.,1,50000,1.5x,2000,Not Applicable/None,,,401k match 6%,,Have not been long enough to have an annual yearly raise,,Negative experience overall.
8/22/2023 11:08,United States,Boston,Pharmaceutical (including “big pharma”),Prefer not to say,Start-up,50-200,Associate Scientist,Masters or Equivalent,None,Bioinformatics,4,115000,N/A (no overtime/salaried),11000,Not Applicable/None,5000,28000 at start,No 401k match yet,,Have not been long enough to have an annual yearly raise,,
8/23/2023 20:47,United States,Philadelphia,Pharmaceutical (including “big pharma”),Prefer not to say,Public,5000+,Scientist,PhD or Equivalent,None,drug product and process development ,4,143000,N/A (no overtime/salaried),23000,Not Applicable/None,25000,,,,Have not been long enough to have an annual yearly raise,,
8/25/2023 23:17,United States,Bay Area,Pharmaceutical (including “big pharma”),Prefer not to say,Subsidiary,50-200,scientist II,PhD or Equivalent,None,,4,140000,N/A (no overtime/salaried),10%,Not Applicable/None,,,,,5%,,
8/25/2023 23:18,United States,Bay Area,Pharmaceutical (including “big pharma”),Prefer not to say,Subsidiary,50-200,scientist II,PhD or Equivalent,None,,4,140000,N/A (no overtime/salaried),10%,Not Applicable/None,,,,,5%,,
8/26/2023 20:17,United States,Philadelphia,Pharmaceutical (including “big pharma”),Prefer not to say,Private,50-200,Automation Engineer,Bachelors or Equivalent,None,,5,120000,N/A (no overtime/salaried),10000,Not Applicable/None,,,,,8%,,
8/31/2023 21:04,United States,San Diego ,Pharmaceutical (including “big pharma”),Prefer not to say,Public,50-200,"SVP, clinical operations ",Masters or Equivalent,None,global head of clinical operations. Anything touching a clinical trial is under my preview. ,21,315000,N/A (no overtime/salaried),95000,50000,40000,150000 (1%),"401k match up to 3.5% salary, no premiums for health insurance, dental, vision (including family)",All premiums paid by company for family. ,5%,0,10-Aug
8/31/2023 23:52,United States,San Diego,Pharmaceutical (including “big pharma”),Prefer not to say,Start-up,1-50,Director,PhD or Equivalent,None,,11,230000,N/A (no overtime/salaried),50000,Not Applicable/None,15000,,3% 401k match,,5%,,
9/12/2023 11:37,United States,Boston,Pharmaceutical (including “big pharma”),Prefer not to say,Public,50-200,Document Control Specialist,Bachelors or Equivalent,None,,2,73500,N/A (no overtime/salaried),6000,Not Applicable/None,,,,,5,,
9/17/2023 19:04,United States,NYC,Pharmaceutical (including “big pharma”),Eisai,Private,5000+,Clinical Data Coordinator,Masters or Equivalent,None,,4,80000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,,,Company/Institution does not have annual yearly raise,,
9/19/2023 12:41,united states,DC,Pharmaceutical (including “big pharma”),Prefer not to say,Start-up,1-50,Sr. Scientist,PhD or Equivalent,None,Lead development of therapeutic program.,5,127000,N/A (no overtime/salaried),12750,Not Applicable/None,,7500 shares upon signing and after time vesting,5% match 401k,"health, dental and eye coverage @ approx $300/month",done on an individual basis,,
9/23/2023 22:38,United States,Philadelphia ,Pharmaceutical (including “big pharma”),Prefer not to say,Public,5000+,Principal Scientist ,PhD or Equivalent,None,Discovery Platforms Dev,2,110000,N/A (no overtime/salaried),13000,Not Applicable/None,0,0,11%,,Have not been long enough to have an annual yearly raise,,
9/29/2023 17:15,United States,Seattle,Pharmaceutical (including “big pharma”),Prefer not to say,Public,5000+,Quality Control Associate II,Bachelors or Equivalent,None,Performance of in-process and product release testing. Ensure product meets specifications,6,79000,1.5x,"3,500",Not Applicable/None,10000,RSUs,"5% 401k match, roth IRAs available",Benefits comparable to industry - automatic $260 yearly contribution to HSA,"5%, not totally sure. Raises also personal, departmental, and company performance based",19500,
10/1/2023 22:00,United States,Boston,Pharmaceutical (including “big pharma”),Takeda,Public,5000+,Associate Scientific Director,M.D./PharmD/D.D.S. or Equivalent,None,"Medical affairs role.  Strategy, SME, interface with cross functional teams",5,205000,N/A (no overtime/salaried),STIP 20% LTIP $45k/yr,$270k total Comp ,10000,$45k/yr,6%,,3%,10000,
10/1/2023 22:02,United States,Chicago,Pharmaceutical (including “big pharma”),Abbvie,Public,5000+,Assoc Medical Director,M.D./PharmD/D.D.S. or Equivalent,None,R&D,6,250000,N/A (no overtime/salaried),30%,410000,105000,95000,6%,,Have not been long enough to have an annual yearly raise,4500,
10/1/2023 22:32,United States,Philadelphia,Pharmaceutical (including “big pharma”),Merck,Public,5000+,"Specialist, Clinical Operations",Bachelors or Equivalent,None,,4,105000,N/A (no overtime/salaried),10500,Not Applicable/None,,,"4.5% 401k match, pension",BCBS,Have not been long enough to have an annual yearly raise,,
10/10/2023 7:01,United States,Boston,Pharmaceutical (including “big pharma”),Generate Biomedicines ,Private,200-1000,Scientist I,PhD or Equivalent,None,,3,110000,N/A (no overtime/salaried),8000,Not Applicable/None,,,,,Have not been long enough to have an annual yearly raise,,
10/12/2023 7:39,United States,Washington DC,Pharmaceutical (including “big pharma”),Miltenyi Biotec/Lentigen,Private,1000-5000,Process Development Associate I,Masters or Equivalent,None,,1,72000,1.5x,7000,Not Applicable/None,,,"Match base on total contribution, typically 75-100%","Free dental and vision, $25 a month HDP",Have not been long enough to have an annual yearly raise,5000,
10/14/2023 17:26,United States,San Diego,Pharmaceutical (including “big pharma”),TriLink Biotechnologies,Subsidiary,200-1000,Manufacturing Associate II,Bachelors or Equivalent,None,,6,62400,"1.5, CA Laws",Not Applicable/None,6%,,RSO,401k matches up to 7%,HSA/PPA ~60/mo,3,,
10/18/2023 14:08,United States,Seattle,Pharmaceutical (including “big pharma”),Seagen,Private,1000-5000,Research associate I,Bachelors or Equivalent,None,In-process testing ,2,67000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,0,,,,3000,,
10/18/2023 16:57,United States,Bay Area,Pharmaceutical (including “big pharma”),Prefer not to say,Private,1-50,"Senior Manager, Talent Acquisition",Masters or Equivalent,None,,11,130000,N/A (no overtime/salaried),13000,Not Applicable/None,,,,,Company/Institution does not have annual yearly raise,,
10/22/2023 16:30,United States,Seattle,Pharmaceutical (including “big pharma”),Just-Evotec Biologics,Public,200-1000,Sr. Scientist,PhD or Equivalent,None,Purification Process Development for manufacturing pharmaceutical biologics ,5,125000,N/A (no overtime/salaried),10000,Not Applicable/None,20000,Not yet currently built into compensation packages,Matching up to 6% of paycheck. ,"Two levels of healthcare, as well as dental and eye. Yearly health fund.",5%,,"10/10, a great company "
10/23/2023 17:08,United States,St Louis,Pharmaceutical (including “big pharma”),Prefer not to say,Private,5000+,Scientist II,Bachelors or Equivalent,None,,8,76500,1.5x base ,7500,Not Applicable/None,,,6% 401k match,,3.25,,
10/24/2023 11:03,United States,Indianapolis,Pharmaceutical (including “big pharma”),Prefer not to say,Public,5000+,Quality Assurance Representative,Bachelors or Equivalent,None,,1,85000,N/A (no overtime/salaried),9000,Not Applicable/None,0,0,6% 401k match + pension,$800/yr company funded HSA,5%,,The compensation and benefits does the talking. Paying employees well creates an excellent culture. 
10/24/2023 13:20,United States,San Diego,Pharmaceutical (including “big pharma”),Genentech,Public,5000+,Engineer I,Bachelors or Equivalent,None,,1,90000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,,,Have not been long enough to have an annual yearly raise,,
10/24/2023 15:43,United States,Cambridge,Pharmaceutical (including “big pharma”),Novartis,Private,5000+,Associate Scientist II,Bachelors or Equivalent,None,Manage High Throughput Assays and assist with setup of other assays,3,65000,1.5,Not Applicable/None,Not Applicable/None,,,401k match 10%,HSA contributions,Have not been long enough to have an annual yearly raise,,Pretty good
10/25/2023 14:12,United States,Boston,Pharmaceutical (including “big pharma”),Novartis,Public,5000+,Expert II,PhD or Equivalent,None,,1,13500,N/A (no overtime/salaried),13500,Not Applicable/None,20000,,,,Have not been long enough to have an annual yearly raise,,
10/26/2023 23:22,United States,Seattle,Pharmaceutical (including “big pharma”),Prefer not to say,Public,1000-5000,Sr. Scientist,Masters or Equivalent,None,MSAT upstream lab support,9,155000,N/A (no overtime/salaried),20150,Not Applicable/None,40000,,100% match up to 5.5%,,Have not been long enough to have an annual yearly raise,,
10/27/2023 8:40,United States,CA,Pharmaceutical (including “big pharma”),Prefer not to say,Public,5000+,Data Scientist,Masters or Equivalent,None,Support digitalization and AI ,10,150000,N/A (no overtime/salaried),20000,20000,15000,,5%,,Have not been long enough to have an annual yearly raise,,Pretty good so far
10/27/2023 9:13,United States,San Francisco,Pharmaceutical (including “big pharma”),Sana Biotechnology,Public,200-1000,Sr. Scientist ,PhD or Equivalent,None,Managed 2 RAs and worked at the bench,4,172500,N/A (no overtime/salaried),25875,RSU and Options,,,"401k match to $4,000",,3%,,Do or die moment
10/27/2023 11:18,United States,Boston,Pharmaceutical (including “big pharma”),Moderna,Public,1000-5000,Research Associate,Masters or Equivalent,None,Routine testing/analytical development,1,82000,N/A (no overtime/salaried),4%,Not Applicable/None,,,,,Have not been long enough to have an annual yearly raise,,
10/27/2023 14:52,United States,Research Triangle,Pharmaceutical (including “big pharma”),KBI Biopharma,Subsidiary,1000-5000,Scientist I,Masters or Equivalent,None,Scientist I Analytical Experience,3,95000,N/A (no overtime/salaried),4750,Not Applicable/None,0,0,5% of salary 401K match,,7,,
10/27/2023 15:44,United States,Miami,Pharmaceutical (including “big pharma”),Ppd,Private,5000+,Senior Trial Manager,Bachelors or Equivalent,None,X,8,155000,N/A (no overtime/salaried),15000,Not Applicable/None,15000,None,6%,Usual,3,,
10/27/2023 16:30,United States,Bay Area,Pharmaceutical (including “big pharma”),Prefer not to say,Public,1000-5000,"Associate Director, Regulatory Affairs",Bachelors or Equivalent,None,,8,172000,N/A (no overtime/salaried),35000,45000,0,,6% 401k Match,Good Health Benefits,3.50%,,
10/27/2023 16:47,United States,Boston,Pharmaceutical (including “big pharma”),Bristol Myers Squibb,Public,5000+,Manager of Data Analytics,Bachelors or Equivalent,None, ,4,100000,N/A (no overtime/salaried),8000,2500,0,Long Term Incentive stock options,6% 401k match,50% deductable match in HSA,2%,,I think the culture of working at BMS is overall very positive.  
10/27/2023 19:06,United States,Boston,Pharmaceutical (including “big pharma”),Prefer not to say,Public,5000+,Sr. Associate Scientist,Bachelors or Equivalent,None,,3,84000,N/A (no overtime/salaried),5800,Not Applicable/None,,None,401k match 100% up to 3% ,,2,,
10/29/2023 7:16,United States,Research Triangle,Pharmaceutical (including “big pharma”),KBI,Public,1000-5000,Scientist Ii,PhD or Equivalent,None,Project lead for analytical development,4,107000,N/A (no overtime/salaried),2500,Not Applicable/None,0,N/A,6,$2800 towards HSA. Cover 90% of plan costs,Have not been long enough to have an annual yearly raise,,
10/29/2023 18:36,United States,Boston,Pharmaceutical (including “big pharma”),Moderna,Public,5000+,"Research Associate, Process Development (Tech Dev Rotational Program)",Bachelors or Equivalent,None,,0,80000,N/A (no overtime/salaried),6400,10000,5000,,"100% match for first 3%, 50% match past 3% to 6%",,Have not been long enough to have an annual yearly raise,15000,
10/30/2023 9:10,United States,Boston (company location) - company is WFH,Pharmaceutical (including “big pharma”),Syner-G Biopharma Group,Private,200-1000,Senior Regulatory Affairs Consultant,Bachelors or Equivalent,None,Sr. Regulatory Affairs Consultant - Pre and post approval submissions for small molecule products,10,95000,N/A (no overtime/salaried),10%,Not Applicable/None,,,3% match 401k,"$95/pay period (semi monthly) 2900 deductible  - health, dental, vision, HSA, and life insurance 1.5x pay.",7%,," 4 weeks PTO, 13 paid holidays, good raises and bonuses. Work-life balance is good, you rarely work over 40 hours. Company 7/10. "
10/30/2023 11:15,United States,Los Angeles ,Pharmaceutical (including “big pharma”),Prefer not to say,Public,50-200,Sr Manager QA,Bachelors or Equivalent,CQA,,25,150000,N/A (no overtime/salaried),18000,180000,,RSUs,401K match to 5%,100% employer covered health insurance ,5,,
10/30/2023 14:58,United States,Boston,Pharmaceutical (including “big pharma”),Prefer not to say,Public,1000-5000,Manager,Bachelors or Equivalent,None,,9,128000,N/A (no overtime/salaried),19000,25000,10000,,4.50%,"$500 family deductible PPO, $10000 max OOP",5,,
10/30/2023 17:35,United states,Denver,Pharmaceutical (including “big pharma”),Prefer not to say,Private,200-1000,Research Associate,Bachelors or Equivalent,None,Research Associate - Process analytics: test product samples for manufacturing team,0,76000,1.5,Not Applicable/None,Not Applicable/None,,,,,Have not been long enough to have an annual yearly raise,,
10/30/2023 19:32,United States,Boston,Pharmaceutical (including “big pharma”),Pfizer,Private,5000+,Scientist,Masters or Equivalent,None,Scientist - laboratory work and presenting on development of small molecules for pharmaceuticals,9,105000,N/A (no overtime/salaried),"$10,000 ",Not Applicable/None,10000,None,4.5% 401K match,,Have not been long enough to have an annual yearly raise,10000,"Great colleagues, but lots of reorgs"
10/31/2023 5:12,United States,Charlotte ,Pharmaceutical (including “big pharma”),IQVIA ,Public,5000+,Sr Clinical Research Associate,Bachelors or Equivalent,None,Sr CRA with 15 years experience ,15,140000,N/A (no overtime/salaried),140000,Not Applicable/None,5000,,6% 401k,N/A did not enroll,Have not been long enough to have an annual yearly raise,,
10/31/2023 22:53,United States,Boston,Pharmaceutical (including “big pharma”),Prefer not to say,Public,50-200,Director of Accounting ,Masters or Equivalent,None,Controller,11,195000,N/A (no overtime/salaried),20%,20000,,Rsu 4 year vest,3% 401k match,Cover 85% of medical costs ,4%,,
11/1/2023 17:39,United States,Boston,Pharmaceutical (including “big pharma”),Prefer not to say,Public,5000+,Compliance nvestigator,Associate’s Degree or Equivalent,None,,5,80000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,,,Have not been long enough to have an annual yearly raise,,
11/1/2023 20:50,United States,Bay Area,Pharmaceutical (including “big pharma”),Prefer not to say,Public,1000-5000,Research Associate 2,Bachelors or Equivalent,None,,5,9200,N/A (no overtime/salaried),10,7000,0,15% discount ESPP,Match 401K up to 6%,"Health Insurance, company pays $1200/yr into HSA",6%,,
11/2/2023 18:13,United States,"Hartford, CT",Pharmaceutical (including “big pharma”),Pfizer,Public,5000+,Audit Manager,Masters or Equivalent,None,GCP Audit Manager,12,144000,N/A (no overtime/salaried),15%,Not Applicable/None,0,None to date,"10% match, pension","PPO, dental, vision, and  AD&D for self and spouse. Also short and long term disability and  life insurance at 8x annual pay. Total out of pocket per pay period is $435.",3%,0,"Not the worst place I’ve ever worked, but it’s still just a job. "
11/5/2023 8:46,United States,Research Triangle,Pharmaceutical (including “big pharma”),Thermo Fisher CRG,Public,5000+,Scientist,Masters or Equivalent,None,,1,52000,1.5x,"1,560",Not Applicable/None,1500,N/A,401k match 6%,,Have not been long enough to have an annual yearly raise,1500,
11/8/2023 18:15,United States,San Diego,Pharmaceutical (including “big pharma”),Prefer not to say,Private,5000+,Research and Development Intern,High School or Equivalent,None,Intern,1,43800,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,0,,,,Have not been long enough to have an annual yearly raise,,
11/8/2023 23:16,United States,Bay Area,Pharmaceutical (including “big pharma”),Gilead,Public,5000+,Sr Director,PhD or Equivalent,None,,8,310000,N/A (no overtime/salaried),150000,150000,,,,,6,,
11/15/2023 12:34,United States,Bay Area,Pharmaceutical (including “big pharma”),Prefer not to say,Public,5000+,Director,M.D./PharmD/D.D.S. or Equivalent,None,Clin Dev,5,295000,N/A (no overtime/salaried),25%,"25,000",0,,15K match,,Have not been long enough to have an annual yearly raise,,
11/15/2023 17:09,United States,San Diego,Pharmaceutical (including “big pharma”),Prefer not to say,Private,50-200,Scientist I,Bachelors or Equivalent,None,,7,87355,N/A (no overtime/salaried),Not Applicable/None,18000,,,Automatic 6% 401k match,"$0 Anthem PPO (per paycheck), $1500 deductible",4%,,
11/19/2023 13:28,United States,California,Pharmaceutical (including “big pharma”),Prefer not to say,Public,5000+,Senior Director,Masters or Equivalent,None,Portfolio Management,16,275000,N/A (no overtime/salaried),68000,100000,256000,,"401k match, mega back door Roth 401k, ESPP","HDHP is $8/pay period for 2 individuals after a $10/pp benefit credit for doing bloodwork; HSA contribution from employer is $1,500/yr. Backup care for children, elders, and pets. Fertility benefits and adoption/surrogacy reimbursement",9%,175000,
11/19/2023 19:57,United States,Indianapolis,Pharmaceutical (including “big pharma”),Eurofins PSS,Private,5000+,Scientist II,Masters or Equivalent,None,Bioanalytical Scientist ,2,49000,1.5x base,Not Applicable/None,Not Applicable/None,,,,,Have not been long enough to have an annual yearly raise,1000,
11/19/2023 21:14,United States,Denver,Pharmaceutical (including “big pharma”),Fortrea,Public,5000+,Associate Director ,Bachelors or Equivalent,None,,15,175000,N/A (no overtime/salaried),"26,250",Not Applicable/None,,,401k match up to 5%,Very expensive ,5%,,
11/20/2023 11:35,United states,Chicago,Pharmaceutical (including “big pharma”),Prefer not to say,Public,200-1000,Field Reimbursement Manager,Masters or Equivalent,None,"Educate healthcare entities on coverage, coding, and payment ",8,165000,N/A (no overtime/salaried),"32,000",Not Applicable/None,,500 RSU,3% match - no vesting period,,3.50%,,
11/21/2023 1:35,United States,Boston,Pharmaceutical (including “big pharma”),Prefer not to say,Start-up,50-200,Sr Quality Systems Specialist,Bachelors or Equivalent,Lean Six Sigma Black Belt,"Sr Quality Systems Specialist - Manage QMS, CCRB and QMS/Exemptions",4,94000,N/A (no overtime/salaried),10%,Not Applicable/None,,,RSUs and 401k match % (4%),HSA match 100%,3%,0,"Decent experience overall, however won’t hesitate to look elsewhere if I find something better."
11/22/2023 10:46,United States,New York City,Pharmaceutical (including “big pharma”),Pfizer,Public,5000+,"Medical Director, Medical Affairs",PhD or Equivalent,None,"Medical Affairs, US Medical Director",8,215000,N/A (no overtime/salaried),20% of base pay,50K target in mixed RSU TRSU stock,160000,50K target in mixed RSU TRSU stock,401K match,,6% after year one,,
11/27/2023 15:04,United States,Los Angeles,Pharmaceutical (including “big pharma”),Kite Pharma,Subsidiary,1000-5000,Associate Scientist,Masters or Equivalent,None,,6,125000,N/A (no overtime/salaried),15000,5000,10000,$25000/yr employee purchase plan with 15% discount,401k $150000 dollar-for-dollar match,"HSA, PPO, HMO - 80-100% of premium paid by employer",8,8000,Positive (80/100)
11/28/2023 21:07,United States,San Diego,Pharmaceutical (including “big pharma”),Prefer not to say,Public,1000-5000,QC Technician III,Bachelors or Equivalent,None,"QC Tech III - Author and/or execute all relevant dept docs, including training and protocols, review of gmp data, performs testing if needed but not part of day-to-day responsibilities",4,92000,1.5x base >8hrs/ <12hrs; 2x base >12 hrs,6440,1800,15000,Yearly stock grant based on paygrade,401k 100% match up to 15% of base pay,EPO Coverage for $89/ month,8%,,
11/29/2023 2:29,United States,Los Angeles,Pharmaceutical (including “big pharma”),Prefer not to say,Subsidiary,1000-5000,Laboratory Operations Manager,Masters or Equivalent,None,,8,140000,N/A (no overtime/salaried),20000,40000,10000,RSU,"100% match up to $15,000/year","Health, Dental, Vision",Have not been long enough to have an annual yearly raise,,
11/29/2023 11:21,united states,Washington D.C. Metro,Pharmaceutical (including “big pharma”),AstraZeneca,Public,5000+,Senior Engineer,Masters or Equivalent,None,Senior Engineering - DP Development and/or MSAT,11,128700,N/A (no overtime/salaried),15%,Not Applicable/None,,,,,3.00%,,
12/4/2023 5:26,United States,Boston,Pharmaceutical (including “big pharma”),Prefer not to say,Public,200-1000,Senior principal scientist,PhD or Equivalent,None,Manage a team of scientists executing discovery work,2,192000,N/A (no overtime/salaried),36000,60000,5000,1000s of stock options,401k match,,5,,
12/4/2023 12:22,United States,Boston,Pharmaceutical (including “big pharma”),Prefer not to say,Start-up,1-50,Senior Scientist,PhD or Equivalent,None,Computational Biology,5,165000,N/A (no overtime/salaried),24000,Not Applicable/None,0,RSA,401k match (4% match),high-deductible plan; HSA and dependent care FSA,7,,
12/6/2023 23:08,United States,San Diego,Pharmaceutical (including “big pharma”),Prefer not to say,Start-up,50-200,Sr Research Associate,Bachelors or Equivalent,None,,4,92222,N/A (no overtime/salaried),9200,Not Applicable/None,,,,,5,,
12/8/2023 21:41,United States,Boston,Pharmaceutical (including “big pharma”),Prefer not to say,Private,50-200,Principal Research Associate ,Bachelors or Equivalent,None,,5,100000,N/A (no overtime/salaried),10000,Not Applicable/None,10000,,,,Have not been long enough to have an annual yearly raise,,
12/8/2023 21:57,United States,Boston,Pharmaceutical (including “big pharma”),Prefer not to say,Public,5000+,Senior scientist,PhD or Equivalent,None,,3,140000,N/A (no overtime/salaried),21000,9800,13000,,6% 401k match,,Have not been long enough to have an annual yearly raise,,
12/10/2023 18:37,United States,Philadelphia ,Pharmaceutical (including “big pharma”),Sanofi,Public,5000+,Manager,Bachelors or Equivalent,None,,8,92800,N/A (no overtime/salaried),13920,Not Applicable/None,,,9% Match. ,"$2500 max out of pocket, $200 deductible",3%,,
12/15/2023 9:38,United States,Boston,Pharmaceutical (including “big pharma”),Moderna,Public,1000-5000,Manufacturing Supervisor,Bachelors or Equivalent,None,,3,100000,N/A (no overtime/salaried),14000,Not Applicable/None,,,4.5% match,,5%,,
12/16/2023 9:55,United States,Boston,Pharmaceutical (including “big pharma”),Arbor ,Private,50-200,Associate scientist ,Masters or Equivalent,None,Disease modeling and gene editing ,5,109000,N/A (no overtime/salaried),12.50%,Not Applicable/None,10000,3000,50,4000,3%,,
12/16/2023 12:36,United States,Seattle,Pharmaceutical (including “big pharma”),Prefer not to say,Public,1000-5000,Associate Director,Masters or Equivalent,None,,16,209000,N/A (no overtime/salaried),41800,35000,,,,,Company/Institution does not have annual yearly raise,,
12/17/2023 20:45,united states,Philadelphia,Pharmaceutical (including “big pharma”),Merck,Public,5000+,Operations Manager,Bachelors or Equivalent,None,operations manager in manufacturing with usw direct reports,3,96000,225 for 4 hours and 450 for 8 hours,13%,"10,000",0,0,match 75% for up to 6%. Pension included after 3 years,BCBS,5%,0,
