Timestamp,What country do you work in?,Where is the closest major city or hub?,Where are you located?,Biotech sub industry?,Company or Institution Name,Company Details - public/private/start-up/ subsidiary of ,Company Detail - Approximate Company Size,Role / Title of current position,What degrees do you have? ,List other relevant and recognized certifications,[Optional] Briefly describe your position,Years of Experience,Compensation - Annual Base Salary/Pay,Compensation - Overtime Pay,Compensation - Annual Target Bonus ($),Compensation - Annual Equity/Stock Option,Compensation - Most recent annual yearly raise (%),Compensation - Sign on Bonus Value,Compensation - Sign on Stock/Equity Options,Compensation - Retirement Benefits (free text),Compensation - Retirement Percent Match (free text),Compensation - Healthcare Benefits (free text),[OPTIONAL] Sign on - Relocation Assistance Total Value,[Optional] Company Review,"[Optional] Work Life Balance - On average, how many hours do you work per week",Survey Feedback
4/8/2024 15:33:26,,,"Pharma Central (NY, NJ, PA)",Big Pharmaceuticals,Merck and Co.,Public,5000+,Associate Scientist,Bachelors or Equivalent,None,Associate Research Scientist -- develops/executes automated viral assays,4,78000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,3,0,None,6%,,,,,41 - 45,
4/8/2024 19:11:03,,,"Midwest (From OH to KS, North to ND)",Contract Manufacturing Organization,Prefer not to say,Private,200-1000,IT Manager,Bachelors or Equivalent,None,Managing sysadmins of GxP software,8,105000,N/A (no overtime/salaried),9800,115000,4,,Only offered twice in company history. Only pays out when company sells.,5% 401k match,,"1600 deductible, 2000 put into HSA by employer per year",,Was great when smaller company. Now stressful and culture is worse. Still fascinating work and rewarding but hectic and short staffed.,41 - 45,"Very cool, thank you for putting this together"
4/8/2024 20:13:59,,,West Coast (California & Pacific Northwest),Big Pharmaceuticals,Prefer not to say,Private,5000+,Postdoc,PhD or Equivalent,None,,1,92500,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,Have not been long enough to have an annual yearly raise,,,4,,,,,41 - 45,
4/8/2024 22:52:18,,,West Coast (California & Pacific Northwest),Academia/Research/Institution,Prefer not to say,Start-up,1-50,Head of Immunology Research,PhD or Equivalent,None,,10,180000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,Company/Institution does not have annual yearly raise,,,Pay into my own 401k,,,,,36 - 40,
4/9/2024 19:15:33,,,"Pharma Central (NY, NJ, PA)",Big Pharmaceuticals,J&J,Public,5000+,Scientist (Contractor),PhD or Equivalent,None,"Scientist - Plan, perform, and analyze early R&D laboratory experiments. ",2,90000,N/A (no overtime/salaried),4500,Not Applicable/None,Have not been long enough to have an annual yearly raise,0,0,4% 401k match,,,,"J&J is a decent place to be a contract scientist. Benefits depend on the contracting firm that brings you in, but once you’re in folks treat you like you’re just another J&J employee, and you’re able to use any facilities at the campus.",36 - 40,
4/10/2024 2:01:49,,,West Coast (California & Pacific Northwest),Medical/Health Devices,Prefer not to say,Private,1000-5000,Associate Director,PhD or Equivalent,None,,9,240000,N/A (no overtime/salaried),41000,130000,3,,,401k 3% match,,,,,41 - 45,
4/10/2024 9:10:58,,,"New England (MA, CT, RI, NH, VT, ME)",Big Pharmaceuticals,Moderna Tx,Public,1000-5000,Engineer III,Bachelors or Equivalent,None,MSAT supporting large scale clinical and commercial manufacturing ops,5,135000,N/A (no overtime/salaried),17550,25000,4.05%,30000,35000,4.5% 401k match,,"$300 per month for lifestyle spending account, free lunch, health and dental is $34 per pay check",,"COmpany culture is not great, work-life balance is non-existent ",51 - 60,
4/10/2024 16:12:31,,,"New England (MA, CT, RI, NH, VT, ME)",Medical/Health Devices,Prefer not to say,Public,1-50,Research Associate 2,Bachelors or Equivalent,None,,3,89000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,3%,0,10000,401k matching,,healthcare,N/A,Its ok,51 - 60,
4/10/2024 20:42:51,,,"New England (MA, CT, RI, NH, VT, ME)",Industrial Biotech,Prefer not to say,Private,50-200,Scientist II,PhD or Equivalent,None,,1,122000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,Company/Institution does not have annual yearly raise,,,no 401k match,,,5000,,41 - 45,
4/10/2024 22:35:48,,,"New England (MA, CT, RI, NH, VT, ME)",Big Pharmaceuticals,Boehringer Ingelheim,Private,1000-5000,Scientist 2,Masters or Equivalent,None,,3,87000,N/A (no overtime/salaried),10%,Not Applicable/None,Have not been long enough to have an annual yearly raise,,,5%,,,,,,
4/10/2024 23:55:54,,,West Coast (California & Pacific Northwest),Industrial Biotech,Prefer not to say,Private,50-200,Research Associate II,Masters or Equivalent,None,,2,72480,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,8,,,401k 3%,,,,,36 - 40,
4/11/2024 3:38:36,,,West Coast (California & Pacific Northwest),Big Pharmaceuticals,Prefer not to say,Public,5000+,Associate Director,PhD or Equivalent,None,Clinical Pharmacology,3,170000,N/A (no overtime/salaried),27000,20000,Have not been long enough to have an annual yearly raise,25000,0,75% 401k matching and 4.5+% pension,,,0,,,
4/11/2024 19:10:42,,,"DC Metro Area (DC, VA, MD, DE)",Contract Manufacturing Organization,Prefer not to say,Public,5000+,Associate Scientist 2,Bachelors or Equivalent,None,biosafety testing,3,65000,1.5x,3250,Not Applicable/None,2.50%,,,6% 401k match,,,,,36 - 40,
4/12/2024 12:18:07,,,"South & Mountain West (TX to AZ, North to MT)",Medical/Health Devices,Prefer not to say,Start-up,1-50,Senior Scientist,PhD or Equivalent,None,,3,115000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,5%,,Given approximately 1% of the company,4% 401k matching,,ICHRA ~$1000 a month,6000,,46 - 50,
4/12/2024 21:22:22,,,"Pharma Central (NY, NJ, PA)",Biotech software,Prefer not to say,Private,1000-5000,Director ,Bachelors or Equivalent,None,,6,175000,N/A (no overtime/salaried),20000,20000,Have not been long enough to have an annual yearly raise,0,0,401k / all standard strong benefits ,,,,,41 - 45,
4/12/2024 23:56:56,,,"Midwest (From OH to KS, North to ND)",Contract Research Organization,Prefer not to say,Public,1000-5000,Research Analyst,Bachelors or Equivalent,None,Analytical chemist- dose formulation concentration verification,8,58000,1.5x,Not Applicable/None,Not Applicable/None,2%,,,"100% match for first 3%, 50% match for the next 2%",,,,,36 - 40,
4/13/2024 9:43:37,,,"Pharma Central (NY, NJ, PA)",Industrial Biotech,Prefer not to say,Subsidiary,1-50,Scientist,PhD or Equivalent,None,,1,135625,N/A (no overtime/salaried),15%,Not Applicable/None,4.20%,,,3% 401K Match,,,,,41 - 45,
4/13/2024 19:37:22,,,West Coast (California & Pacific Northwest),Food,Prefer not to say,Start-up,200-1000,Scientist II,"High School or Equivalent, Bachelors or Equivalent, PhD or Equivalent",None,Scientist II - Researcher in cell line development. Manage 1 research associate.,2,138500,N/A (no overtime/salaried),Not Applicable/None,7252,4.53,2000,,None,,$3200 deductible HDHP with $1000/yr company contribution to HSA,,,41 - 45,
4/14/2024 4:05:44,,,West Coast (California & Pacific Northwest),Contract Manufacturing Organization,Prefer not to say,Public,200-1000,Process development scientist ,PhD or Equivalent,None,Develop and optimize process for peptide manufacturing in large scale. ,8,95000,N/A (no overtime/salaried),9500,Not Applicable/None,Cola,,,6% match on 401k,,,,,41 - 45,
4/14/2024 8:42:13,,,"Midwest (From OH to KS, North to ND)",Big Pharmaceuticals,Pfizer,Public,5000+,QC Analyst IV,"High School or Equivalent, Associate’s Degree or Equivalent, Bachelors or Equivalent",None,,7,66000,1.5,4000,Not Applicable/None,3%,,,"5% match, plus additional 5% towards retirement once a year.",,,,,41 - 45,
4/14/2024 13:21:06,,,West Coast (California & Pacific Northwest),Big Pharmaceuticals,Biomarin Pharmaceutical ,Public,1000-5000,Sr Manager (Sr Scientist 1),PhD or Equivalent,None,Sr Manager - In Vivo Scientific Lead for therapeutic area responsible for all animal studies.Have 3 direct reports.,11,171000,N/A (no overtime/salaried),29000,40000,3.75,10000,"40000 in RSU, distributed over 4 years",6% match on 401k ,,Healthcare insurance is ~ 75-100/month ,"15000 for housing allowance, paid monthly (1250/month). Moving company (including packing and unpacking) fully covered. Reimbursement for hotels (every 400 miles), gas mileage, lease payout fee. Temporary housing for 2 months. ","Not the most competitive pay in the Bay Area. HR claims the company is competitive, but can easily make 50k more at other companies. Company is ok to work for, learning a lot about new diseases. Some teams barely work, yet sr management does nothing about it. ",41 - 45,
4/15/2024 10:20:09,,,"Pharma Central (NY, NJ, PA)",Industrial Biotech,Prefer not to say,Private,1-50,Associate Director ,PhD or Equivalent,None,Manage Process and Assay Development. Manage 2-4 Junior scientists,8,186000,N/A (no overtime/salaried),27%,Not Applicable/None,3%,0,0,4% match,,80% Premium paid by employer,NA,,41 - 45,
4/15/2024 11:33:34,,,"New England (MA, CT, RI, NH, VT, ME)",Industrial Biotech,Flagship,Start-up,1-50,Sr Scientist I,PhD or Equivalent,None,Lab based research,5,140000,N/A (no overtime/salaried),17500,TBD,Have not been long enough to have an annual yearly raise,8000,,None,,"BCBS, employer covers 82.5% of costs. 0 deductibles, Out of pocket max for self 5450/ for family 10900",NA,,41 - 45,
4/15/2024 18:39:54,,,"Pharma Central (NY, NJ, PA)",Industrial Biotech,Prefer not to say,Public,5000+,Process Development Engineer 1,Masters or Equivalent,None,Process development IC that specializes in high throughput screening.,6,100500,N/A (no overtime/salaried),11000,Not Applicable/None,5,12500,N/A,5%,,HSA,,,41 - 45,
4/15/2024 22:58:48,,,"Carolinas & Southeast (From NC to AR, South FL and LA)",Academia/Research/Institution,Prefer not to say,Private,5000+,Sr. Scientist,PhD or Equivalent,None,Image analysis,0,120000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,Too soon to know,0,0,401k match 7% after a year,,"Free healthcare insurance. 85% coinsurance, 300 deductible, 3000 max out of pocket.",6000,,36 - 40,
4/16/2024 3:20:53,,,West Coast (California & Pacific Northwest),Industrial Biotech,MedGenome,Private,1-50,Research Associate I,"High School or Equivalent, Bachelors or Equivalent",None,"Research Associate I - WGS, WES, Target enrichment and RNA library prep. Loading Illumina Novaseq 6000/Novaseq X plus and miseq machines. Quantifying and diluting libraries for apt read outputs.",2,66500,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,2%,900,,3% 401k match,,"HSA, vision + dental + health",0,,41 - 45,
4/16/2024 11:50:06,,,"New England (MA, CT, RI, NH, VT, ME)",Industrial Biotech,Prefer not to say,Start-up,50-200,Senior Scientist,PhD or Equivalent,None,,9,165000,N/A (no overtime/salaried),"20,000",Not Applicable/None,4,10000,,4% 401k match,,,,,41 - 45,
4/16/2024 12:16:16,,,West Coast (California & Pacific Northwest),Academia/Research/Institution,Chan Zuckerberg Biohub ,Private,200-1000,Scientist,PhD or Equivalent,None,Scientist in research group studying infectious diseases,4,120000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,3%,,, 401k match 20%,,"PPO, HSA, blue cross 300 USD/ month for entire family out of pocket, ",,7,51 - 60,
4/16/2024 14:29:05,,,"DC Metro Area (DC, VA, MD, DE)",Contract Research Organization,Prefer not to say,Private,200-1000,Biostatistician,Masters or Equivalent,None,,4,107000,N/A (no overtime/salaried),7%,Not Applicable/None,4%,,,6% 401k match,,,,,41 - 45,
4/17/2024 4:07:20,,,,Contract Research Organization,Prefer not to say,Private,200-1000,Bioinformatics engineer,Masters or Equivalent,None,,3,150000,N/A (no overtime/salaried),20000,Not Applicable/None,Company/Institution does not have annual yearly raise,,,401k,,,,,36 - 40,
4/17/2024 15:39:25,,,"South & Mountain West (TX to AZ, North to MT)",Contract Research Organization,Prefer not to say,Private,1-50,Senior Research & Development Scientist,Masters or Equivalent,None,"Immunoassay development/validation, sample testing services",3,78500,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,15 (not for everyone though),0,0,"Don’t remember 401k contribution, but get 3% profit share",,"High deductible plan but it’s totally paid for by the company along with dental and vision, get monthly HSA contributions",N/A,"Very small company, my first 2 years were great, but new hires have ruined the environment over the last year",46 - 50,
4/18/2024 10:04:13,,,"Pharma Central (NY, NJ, PA)",Big Pharmaceuticals,Prefer not to say,Public,5000+,Sr. Manager,Masters or Equivalent,None,MS&T,12,160,N/A (no overtime/salaried),27500,30000,3.6,25000,55000,5%,,"Employer HSA contribution, relatively low premiums ",100000,Best place I've worked so far,41 - 45,Thanks for putting this together 
4/18/2024 13:54:19,,,"Midwest (From OH to KS, North to ND)",Biotech Equipment,Prefer not to say,Private,1000-5000,Senior Scientist,PhD or Equivalent,None,R&D,2,110000,N/A (no overtime/salaried),8000,Not Applicable/None,Company/Institution does not have annual yearly raise,,,N/A,,,,,36 - 40,
4/18/2024 15:59:59,,,West Coast (California & Pacific Northwest),Big Pharmaceuticals,Prefer not to say,Private,5000+,Director,PhD or Equivalent,PMP,IT,20,230000,N/A (no overtime/salaried),70000,25%,3.5,10000,20000,6%,,,100000,,Less than 30,Thanks for the survey 
4/19/2024 0:48:25,,,West Coast (California & Pacific Northwest),Big Pharmaceuticals,Prefer not to say,Public,5000+,Senior Advisor (Associate Director level),PhD or Equivalent,None,Scientist overseeing ADME strategy and workflows,6,175000,N/A (no overtime/salaried),35000,Not Applicable/None,Have not been long enough to have an annual yearly raise,15000,,6%,,standard + HSA contributions + prescription support,,Great experience so far,46 - 50,
4/19/2024 1:31:30,,,"South & Mountain West (TX to AZ, North to MT)",CDMO CGMP manufacturing (large molecule),Prefer not to say,Public,200-1000,Solution Prep Associate II,High School or Equivalent,None,,3,40019,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,Company/Institution does not have annual yearly raise,,,"6% 401k match, health/dental/vision insurance offered, legal/identity services discount offered through third-party.",,,,,36 - 40,straight to the point. overall good. 
4/19/2024 2:48:31,,,West Coast (California & Pacific Northwest),Big Pharmaceuticals,thermofisher scientific,Public,1000-5000,sr. operator,Associate’s Degree or Equivalent,None,"biomanufacturing technician - upstream, downstream",0,45760,1.5x base,Not Applicable/None,Not Applicable/None,Company/Institution does not have annual yearly raise,,,n/a contractor,,,,,41 - 45,
4/19/2024 18:13:40,,,"New England (MA, CT, RI, NH, VT, ME)",Big Pharmaceuticals,BMS,Public,5000+,QC Specialist,Bachelors or Equivalent,None,,2,80574,1.5x,6445,Unsure,3.3,0,Unsure,6% 401k match,,Aetna PPO,,,36 - 40,
4/19/2024 20:49:59,,,West Coast (California & Pacific Northwest),Agriculture,Prefer not to say,Start-up,1-50,Scientist 3,PhD or Equivalent,None,,4,130000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,Company/Institution does not have annual yearly raise,,,N/A,,,,,30 - 35,
4/19/2024 22:13:44,,,"Midwest (From OH to KS, North to ND)",Medical/Health Devices,Prefer not to say,Start-up,50-200,Senior Machine Learning Engineer,PhD or Equivalent,None,"Tech lead MLE, computer vision.",5,185000,N/A (no overtime/salaried),18500,Not Applicable/None,Company/Institution does not have annual yearly raise,0,"Options, currently underwater.",3% 401k match,,Family plan 330/month (75% paid).,,,36 - 40,
4/19/2024 22:29:27,,,West Coast (California & Pacific Northwest),Industrial Biotech,Prefer not to say,Public,200-1000,Associate Scientist ,Masters or Equivalent,None,Associate Scientist- Biomarkers ,7,125000,N/A (no overtime/salaried),12%,10000,3-5%,0,"10,000 Stock Options",401k 4% match ,,,,,30 - 35,
4/20/2024 0:57:42,,,West Coast (California & Pacific Northwest),Medical/Health Devices,Prefer not to say,Public,50-200,Bioinformatics Engineer,Masters or Equivalent,None,,1,150000,N/A (no overtime/salaried),15000,3000,8,,,N/a,,,,,60+,
4/20/2024 10:39:01,,,"Pharma Central (NY, NJ, PA)",Big Pharmaceuticals,Bristol Myers Squibb,Public,5000+,"Associate Director, US Commercial Strategy & Operations",Bachelors or Equivalent,None,,7,187000,N/A (no overtime/salaried),37000,22000,3,,,Not sure,,,,,,
4/21/2024 10:00:55,,,spain,gen therapy,Prefer not to say,Private,,technician,MD or Equivalent,None,,4,35000,2x,Not Applicable/None,Not Applicable/None,Have not been long enough to have an annual yearly raise,,,0,,,,,41 - 45,N/A
4/21/2024 14:03:43,,,West Coast (California & Pacific Northwest),Industrial Biotech,Prefer not to say,Public,1000-5000,Scientist I,PhD or Equivalent,None,Non-manager scientist R&D,2,120000,N/A (no overtime/salaried),12000,31100,Have not been long enough to have an annual yearly raise,,RSU,401K match 6%,,HSA ,Movers paid for + $10000,,36 - 40,
4/21/2024 17:44:54,,,"Pharma Central (NY, NJ, PA)",Big Pharmaceuticals,Prefer not to say,Public,5000+,"Specialist, Manufacturing",Bachelors or Equivalent,None,"Support deviation/CAPA management, change management, batch documentation updates, ad hoc tasks for manufacturing floor",4,91000,N/A (no overtime/salaried),8%,Not Applicable/None,3%,,,401k 100% match up to 4%,,,,,30 - 35,
4/21/2024 18:52:01,,,"South & Mountain West (TX to AZ, North to MT)",Chemical,Prefer not to say,Start-up,50-200,Senior Research Chemist,PhD or Equivalent,None,"Sr Scientist.  Project lead for R&D, manage small team of 3-5 techs. ",2,115000,N/A (no overtime/salaried),"20,000",Not Applicable/None,Have not been long enough to have an annual yearly raise,,,"3% match, fully vested",,,"5,000 relocation",,46 - 50,
4/21/2024 19:24:22,,,West Coast (California & Pacific Northwest),Biotech Software,Benchling,Private,200-1000,Senior Product Manager,PhD or Equivalent,None,,6,205000,N/A (no overtime/salaried),Not Applicable/None,95000,5%,20000,,3%,,,,,46 - 50,
4/21/2024 20:23:09,,,West Coast (California & Pacific Northwest),Big Pharmaceuticals,Prefer not to say,Private,200-1000,Associate Director,PhD or Equivalent,None,,9,230000,N/A (no overtime/salaried),46000,Not Applicable/None,4,,"30,000 ISOs","$7500 401k match, $2000 HSA match",,,,,46 - 50,
4/21/2024 20:28:08,,,West Coast (California & Pacific Northwest),Industrial Biotech,Prefer not to say,Start-up,200-1000,Systems Engineer 2,Bachelors or Equivalent,None,,2,113000,N/A (no overtime/salaried),7910,15000,3%,,,401k match 4%,,,,,51 - 60,
4/21/2024 20:31:49,,,"Pharma Central (NY, NJ, PA)",Pre-revenue biotech,Prefer not to say,Public,50-200,VP Finance,Masters or Equivalent,CPA,VP Finance and Chief Accounting Officer,18,375000,N/A (no overtime/salaried),93750,100000,5%,20000,50000 stock options,5% 401k match,,"90% employer paid healthcare, 100% vision and dental",,,30 - 35,
4/21/2024 20:36:00,,,West Coast (California & Pacific Northwest),Instrumentation,Prefer not to say,Public,5000+,Staff Engineer,PhD or Equivalent,None,,4,164000,N/A (no overtime/salaried),16400,875,2.5,0,0,3,,,,,41 - 45,
4/21/2024 20:39:38,,,West Coast (California & Pacific Northwest),Industrial Biotech,Prefer not to say,Start-up,50-200,Senior Product Manager,PhD or Equivalent,None,,7,180000,N/A (no overtime/salaried),Not Applicable/None,Unknown at this time,4%,5000,Options that start to vest at 1 year then monthly. Fully vested at 4 years.,None,,Decent PPO with moderate employee contribution,,,46 - 50,
4/21/2024 21:01:03,,,"Pharma Central (NY, NJ, PA)",Industrial Biotech,Prefer not to say,Start-up,50-200,Manager Computational Biology,"Bachelors or Equivalent, Masters or Equivalent, PhD or Equivalent",None,,6,205000,N/A (no overtime/salaried),24000,15000,6,10000,Equity Options vested over 4 years,4.50%,,aetna covered,,,41 - 45,
4/21/2024 21:39:09,,,West Coast (California & Pacific Northwest),Industrial Biotech,Prefer not to say,Private,5000+,Sr. Associate Development Engineer,Masters or Equivalent,None,Upstream Process Development (Cell Culture),5,124000,N/A (no overtime/salaried),6200,Not Applicable/None,3.2,0,"ESPP: 15% discounted shares, 1 year vesting",10% 401k match,,,,Very pleased with my career at a large biotech company. ,41 - 45,
4/21/2024 22:10:49,,,Canada,Big Pharmaceuticals,Prefer not to say,Public,200-1000,Research Scientist,"High School or Equivalent, Bachelors or Equivalent, PhD or Equivalent",None,,2,100000,N/A (no overtime/salaried),Not Applicable/None,10000,6,0,Stock options and RSUs granted ,6% RRSP (not matching),,Good package for Canada ,,Not so great culture after recent layoffs,41 - 45,
4/21/2024 22:47:00,,,West Coast (California & Pacific Northwest),Biotech Equipment,Prefer not to say,Start-up,50-200,Data Scientist ,PhD or Equivalent,None,,2,145000,N/A (no overtime/salaried),14500,50000,Have not been long enough to have an annual yearly raise,,,401k match 4%,,,,,41 - 45,
4/21/2024 23:13:13,,,"Midwest (From OH to KS, North to ND)",Academia/Research/Institution,Indiana University school of medicine,Academia/College/Universities,200-1000,Fellow,PhD or Equivalent,None,,2,62,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,Have not been long enough to have an annual yearly raise,0,,yes,,,,,41 - 45,
4/21/2024 23:15:59,,,"Midwest (From OH to KS, North to ND)",Academia/Research/Institution,Prefer not to say,Academia/College/Universities,5000+,Scientist I,PhD or Equivalent,None,Bioinformatician,5,75000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,5%,0,none,403b / 457b / state pension,,many good health care options + dental + vision,0,"Decent work life balance, great amount of PTO and sick time. Sick time can be banked to pay for continued health care after retirement",36 - 40,
4/22/2024 0:02:00,,,"DC Metro Area (DC, VA, MD, DE)",Industrial Biotech,Avstera therapeutics ,Start-up,1-50,Research assistant ,Bachelors or Equivalent,None,,1,55000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,Company/Institution does not have annual yearly raise,,,TIAA,,,,,Less than 30,
4/22/2024 0:06:32,,,West Coast (California & Pacific Northwest),Academia/Research/Institution,Prefer not to say,Public,200-1000,Research Associate,Bachelors or Equivalent,None,,3,58500,1.5 base,Not Applicable/None,Not Applicable/None,3%,3000,,401k match,,,,,36 - 40,
4/22/2024 0:49:02,,,EU,Small pharma,Prefer not to say,Private,1-50,Head of Clinical Develompment,"PhD or Equivalent, MD or Equivalent",None,,4,120000,N/A (no overtime/salaried),10000,Not Applicable/None,Company/Institution does not have annual yearly raise,,,0,,,,,51 - 60,
4/22/2024 2:47:11,,,Poland,Big Pharmaceuticals,Prefer not to say,Private,50-200,Head,PhD or Equivalent,None,,15,50000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,10,,,yes,,yes,,,41 - 45,
4/22/2024 4:34:43,,,Germany,Academia/Research/Institution,Prefer not to say,Academia/College/Universities,5000+,Associate Scientist Doctoral Student,Masters or Equivalent,None,Doctoral student,2,33934,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,Company/Institution does not have annual yearly raise,,,None,,,,,36 - 40,
4/22/2024 5:12:48,,,"DC Metro Area (DC, VA, MD, DE)",Industrial Biotech,Prefer not to say,Start-up,50-200,Principal Scientist,PhD or Equivalent,None,Principal Bioinformatics Engineer,13,220000,N/A (no overtime/salaried),Not Applicable/None,380000,Have not been long enough to have an annual yearly raise,,,401k,,,,,46 - 50,
4/22/2024 5:20:38,,,France,Big Pharmaceuticals,Prefer not to say,Private,5000+,Senior Principal Scientist,"High School or Equivalent, Bachelors or Equivalent, Masters or Equivalent, PhD or Equivalent",None,,11,72000,N/A (no overtime/salaried),10000,Not Applicable/None,6,,,pension,,,,,36 - 40,
4/22/2024 8:06:45,,,"Midwest (From OH to KS, North to ND)",Academia/Research/Institution,Michigan State University,Academia/College/Universities,5000+,Graduate Research Assistant,Bachelors or Equivalent,None,,4,33000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,Company/Institution does not have annual yearly raise,0,None,None,,"$50 deductible per visit, insured by BCBS MI. No HSA, vision and dental cost extra and are not included.",,"Institution is great, my experience within my particular position has been less than stellar.",51 - 60,
4/22/2024 8:39:28,,,"Pharma Central (NY, NJ, PA)",Industrial Biotech,Prefer not to say,Start-up,1-50,Head,PhD or Equivalent,None,Lead a function,11,160000,N/A (no overtime/salaried),Not Applicable/None,12000,Company/Institution does not have annual yearly raise,0,0,0,,,,,36 - 40,
4/22/2024 8:54:51,,,West Coast (California & Pacific Northwest),Industrial Biotech,Prefer not to say,Start-up,200-1000,Principal Scientist,PhD or Equivalent,None,,8,254000,N/A (no overtime/salaried),52000,140000/4,4,,200000/4,401k match,,No cost health insurance,,,60+,
4/22/2024 9:56:51,,,"New England (MA, CT, RI, NH, VT, ME)",Agriculture,Prefer not to say,Start-up,1-50,"Director, Computational Biology",PhD or Equivalent,None,"Manage team of 4 bioinformatics & data scientists & engineers. Bioinformatics pipelines, data analysis, and vaccine design.",7,194000,N/A (no overtime/salaried),29000,Not Applicable/None,4%,,0.50%,401k match up to 4%,,,,,41 - 45,
4/22/2024 10:58:38,,,West Coast (California & Pacific Northwest),Industrial Biotech,Prefer not to say,Start-up,1-50,Manager,"High School or Equivalent, Bachelors or Equivalent, PhD or Equivalent",None,Data Science / Bioinformatics / ML,6,150000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,10,,,401k,,Great Insurance,,Excellent ,46 - 50,
4/22/2024 11:38:48,,,"New England (MA, CT, RI, NH, VT, ME)",Consulting,Prefer not to say,Private,50-200,Consultant,Bachelors or Equivalent,None,,5,95000,N/A (no overtime/salaried),30000,Not Applicable/None,10,,,401k,,,,,46 - 50,
4/22/2024 11:49:30,,,"New England (MA, CT, RI, NH, VT, ME)",Academia/Research/Institution,Prefer not to say,Academia/College/Universities,5000+,Postdoc,PhD or Equivalent,None,Postdoc computational biology,5,75000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,5,0,0,401k match 6%,,,"$2,000",,46 - 50,
4/22/2024 12:44:27,,,"New England (MA, CT, RI, NH, VT, ME)",Big Pharmaceuticals,Prefer not to say,Start-up,50-200,Sr. Software Engineer,Bachelors or Equivalent,None,,5,190000,N/A (no overtime/salaried),20000,80000,3,10000,,all,,,,,36 - 40,
4/22/2024 12:59:28,,,Canada,Big Pharmaceuticals,Prefer not to say,Public,200-1000,Research Scientist,PhD or Equivalent,None,,10,92000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,Have not been long enough to have an annual yearly raise,,, ,,,,,41 - 45,
4/22/2024 13:18:45,,,United Kingdom and Ireland,Industrial Biotech,Prefer not to say,Start-up,1-50,Principal Scientist,PhD or Equivalent,None,,9,55000,N/A (no overtime/salaried),Not Applicable/None,80000,Company/Institution does not have annual yearly raise,,,2% match pension,,,,,51 - 60,
4/22/2024 14:18:24,,,"Pharma Central (NY, NJ, PA)",Big Pharmaceuticals,Prefer not to say,Private,50-200,Scientist 1,PhD or Equivalent,None,,0,260000,N/A (no overtime/salaried),35000,Not Applicable/None,Have not been long enough to have an annual yearly raise,,,Above market,,,,,41 - 45,
4/22/2024 14:29:46,,,"Pharma Central (NY, NJ, PA)",Big Pharmaceuticals,Johnson and Johnson,Public,5000+,Senior Associate Scientist,Bachelors or Equivalent,None,Author regulatory filing sections for lentiviral vector DS and respond to health authority questions. Perform technical evaluations for CPV parameters. ,5,112400,N/A (no overtime/salaried),10116,Not Applicable/None,2.18,,,401k and pension,,"High deductible health insurance (Aetna) with HSA (Bank of America), $500 company contribution to insurance for completing screenings preventative care and other activities, $500 wellness reimbursement for exercise equipment and healthy eating including CSA and meal delivery kits as well as fitness trackers including smart watches",,"Workload is good as well as work flexibility. Organization has severe leadership issues however from department to CEO and has been focused on cost-cutting measures including large swathes of layoffs for ""underperforming"" business/therapeutic sectors",Less than 30,
4/22/2024 14:43:16,,,West Coast (California & Pacific Northwest),Animal Health,Zoetis,Public,5000+,Quality Assurance Scientist,Bachelors or Equivalent,None,,12,78500,N/A (no overtime/salaried),6000,Not Applicable/None,5%,0,0,5%,,,,,36 - 40,
4/22/2024 14:54:49,,,West Coast (California & Pacific Northwest),Biotech Equipment,Prefer not to say,Start-up,1-50,Svp Marketing and BD,"High School or Equivalent, Bachelors or Equivalent, Masters or Equivalent, PhD or Equivalent",None,,22,230000,N/A (no overtime/salaried),20%,"50,000",Company/Institution does not have annual yearly raise,0,0,401k no match,,Standard. No life insurance,,,36 - 40,
